,created_at,sentiment,volumne,sentiment_1dlag,volumne_1dlag,sentiment_2dlag,volumne_2dlag,sentiment_3dlag,volumne_3dlag,open,high,low,close,adjclose,open_prevDay,high_prevDay,low_prevDay,close_prevDay,adjclose_prevDay
138,2014-12-08,-0.3612,1,0.0,1.0,0.0,1.0,0.6361,1.0,44.31,44.97,42.47,42.87,42.87,45.73,45.88,44.45,44.74,44.74
139,2014-12-09,0.27475,2,-0.3612,1.0,0.0,1.0,0.0,1.0,41.87,43.55,40.85,43.38,43.38,44.31,44.97,42.47,42.87,42.87
140,2014-12-10,0.0,1,0.27475,2.0,-0.3612,1.0,0.0,1.0,42.83,43.35,41.54,41.97,41.97,41.87,43.55,40.85,43.38,43.38
141,2014-12-11,0.09106666666666667,3,0.0,1.0,0.27475,2.0,-0.3612,1.0,42.11,43.09,41.65,41.78,41.78,42.83,43.35,41.54,41.97,41.97
142,2014-12-12,0.0,1,0.09106666666666667,3.0,0.0,1.0,0.27475,2.0,40.96,42.34,40.9,41.4,41.4,42.11,43.09,41.65,41.78,41.78
143,2014-12-15,0.0,1,0.0,1.0,0.09106666666666667,3.0,0.0,1.0,41.86,41.96,40.53,40.81,40.81,40.96,42.34,40.9,41.4,41.4
144,2014-12-18,0.37345,2,0.0,1.0,0.0,1.0,0.09106666666666667,3.0,42.48,43.69,42.36,43.65,43.65,38.61,41.33,38.53,41.16,41.16
145,2014-12-19,-0.11315,2,0.37345,2.0,0.0,1.0,0.0,1.0,44.04,44.08,42.9,43.86,43.86,42.48,43.69,42.36,43.65,43.65
146,2014-12-26,0.2924,2,-0.11315,2.0,0.37345,2.0,0.0,1.0,44.3,45.7,44.3,45.56,45.56,43.95,44.5,43.85,44.45,44.45
147,2014-12-30,0.0,1,0.2924,2.0,-0.11315,2.0,0.37345,2.0,44.8,45.13,44.28,44.45,44.45,45.38,45.58,44.8,45.14,45.14
148,2014-12-31,0.4767,1,0.0,1.0,0.2924,2.0,-0.11315,2.0,44.62,45.14,44.45,44.48,44.48,44.8,45.13,44.28,44.45,44.45
149,2015-01-12,0.0,1,0.4767,1.0,0.0,1.0,0.2924,2.0,40.61,40.89,39.85,40.44,40.44,41.78,42.0,40.99,41.33,41.33
150,2015-01-13,0.0,1,0.0,1.0,0.4767,1.0,0.0,1.0,40.66,41.52,40.18,40.85,40.85,40.61,40.89,39.85,40.44,40.44
151,2015-01-14,0.3275,2,0.0,1.0,0.0,1.0,0.4767,1.0,37.17,39.04,37.0,38.54,38.54,40.66,41.52,40.18,40.85,40.85
152,2015-01-15,0.4404,1,0.3275,2.0,0.0,1.0,0.0,1.0,38.9,39.15,38.0,38.37,38.37,37.17,39.04,37.0,38.54,38.54
153,2015-01-16,0.0,1,0.4404,1.0,0.3275,2.0,0.0,1.0,38.14,38.9,37.93,38.61,38.61,38.9,39.15,38.0,38.37,38.37
154,2015-01-19,0.27295,2,0.0,1.0,0.4404,1.0,0.3275,2.0,,,,,,,,,,
155,2015-01-20,0.49085,2,0.27295,2.0,0.0,1.0,0.4404,1.0,38.77,38.82,37.41,38.39,38.39,38.14,38.9,37.93,38.61,38.61
156,2015-01-21,-0.34,1,0.49085,2.0,0.27295,2.0,0.0,1.0,37.91,39.74,37.9,39.31,39.31,38.77,38.82,37.41,38.39,38.39
